8/14/2014 19:17:41 -- PID=6936 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:17:42 -- PID=7620 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:17:43 -- PID=8168 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:19:54 -- PID=1664 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:19:54 -- PID=2244 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:19:55 -- PID=8036 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 20:31:26 -- PID=8008 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 20:31:27 -- PID=8024 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 20:31:27 -- PID=7784 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 20:49:51 -- PID=7788 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 20:49:52 -- PID=7456 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 20:49:53 -- PID=564 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 21:1:51 -- PID=7120 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 21:1:52 -- PID=7388 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 21:1:52 -- PID=7820 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 21:3:19 -- PID=5008 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 21:3:19 -- PID=7116 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 21:3:20 -- PID=6948 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
