ID,Year,Month,Day,Unit,TimeStamp,Label
343,1998,04,25,Day,1998-04-25,98Apr25
344,1998,04,\N,Month,1998-04,Apr1998
345,1998,\N,\N,Year,1998,1998
346,1998,04,26,Day,1998-04-26,98Apr26
347,1998,04,\N,Month,1998-04,Apr1998
348,1998,\N,\N,Year,1998,1998
349,1998,04,27,Day,1998-04-27,98Apr27
350,1998,04,\N,Month,1998-04,Apr1998
351,1998,\N,\N,Year,1998,1998
352,1998,04,28,Day,1998-04-28,98Apr28
353,1998,04,\N,Month,1998-04,Apr1998
354,1998,\N,\N,Year,1998,1998
355,1998,04,29,Day,1998-04-29,98Apr29
356,1998,04,\N,Month,1998-04,Apr1998
357,1998,\N,\N,Year,1998,1998
358,1998,04,30,Day,1998-04-30,98Apr30
359,1998,04,\N,Month,1998-04,Apr1998
360,1998,\N,\N,Year,1998,1998
361,1998,05,01,Day,1998-05-01,98May01
362,1998,05,\N,Month,1998-05,May1998
363,1998,\N,\N,Year,1998,1998
364,1998,05,02,Day,1998-05-02,98May02
365,1998,05,\N,Month,1998-05,May1998
366,1998,\N,\N,Year,1998,1998
367,1998,05,03,Day,1998-05-03,98May03
368,1998,05,\N,Month,1998-05,May1998
369,1998,\N,\N,Year,1998,1998
370,1998,05,04,Day,1998-05-04,98May04
371,1998,05,\N,Month,1998-05,May1998
372,1998,\N,\N,Year,1998,1998
373,1998,05,05,Day,1998-05-05,98May05
374,1998,05,\N,Month,1998-05,May1998
375,1998,\N,\N,Year,1998,1998
376,1998,05,06,Day,1998-05-06,98May06
377,1998,05,\N,Month,1998-05,May1998
378,1998,\N,\N,Year,1998,1998
379,1998,05,07,Day,1998-05-07,98May07
380,1998,05,\N,Month,1998-05,May1998
381,1998,\N,\N,Year,1998,1998
382,1998,05,08,Day,1998-05-08,98May08
383,1998,05,\N,Month,1998-05,May1998
384,1998,\N,\N,Year,1998,1998
385,1998,05,09,Day,1998-05-09,98May09
386,1998,05,\N,Month,1998-05,May1998
387,1998,\N,\N,Year,1998,1998
388,1998,05,10,Day,1998-05-10,98May10
389,1998,05,\N,Month,1998-05,May1998
390,1998,\N,\N,Year,1998,1998
391,1998,05,11,Day,1998-05-11,98May11
392,1998,05,\N,Month,1998-05,May1998
393,1998,\N,\N,Year,1998,1998
394,1998,05,12,Day,1998-05-12,98May12
395,1998,05,\N,Month,1998-05,May1998
396,1998,\N,\N,Year,1998,1998
397,1998,05,13,Day,1998-05-13,98May13
398,1998,05,\N,Month,1998-05,May1998
399,1998,\N,\N,Year,1998,1998
400,1998,05,14,Day,1998-05-14,98May14
401,1998,05,\N,Month,1998-05,May1998
402,1998,\N,\N,Year,1998,1998
403,1998,05,15,Day,1998-05-15,98May15
404,1998,05,\N,Month,1998-05,May1998
405,1998,\N,\N,Year,1998,1998
406,1998,05,16,Day,1998-05-16,98May16
407,1998,05,\N,Month,1998-05,May1998
408,1998,\N,\N,Year,1998,1998
409,1998,05,17,Day,1998-05-17,98May17
410,1998,05,\N,Month,1998-05,May1998
411,1998,\N,\N,Year,1998,1998
412,1998,05,18,Day,1998-05-18,98May18
413,1998,05,\N,Month,1998-05,May1998
414,1998,\N,\N,Year,1998,1998
415,1998,05,19,Day,1998-05-19,98May19
416,1998,05,\N,Month,1998-05,May1998
417,1998,\N,\N,Year,1998,1998
418,1998,05,20,Day,1998-05-20,98May20
419,1998,05,\N,Month,1998-05,May1998
420,1998,\N,\N,Year,1998,1998
421,1998,05,21,Day,1998-05-21,98May21
422,1998,05,\N,Month,1998-05,May1998
423,1998,\N,\N,Year,1998,1998
424,1998,05,22,Day,1998-05-22,98May22
425,1998,05,\N,Month,1998-05,May1998
426,1998,\N,\N,Year,1998,1998
427,1998,05,23,Day,1998-05-23,98May23
428,1998,05,\N,Month,1998-05,May1998
429,1998,\N,\N,Year,1998,1998
430,1998,05,24,Day,1998-05-24,98May24
431,1998,05,\N,Month,1998-05,May1998
432,1998,\N,\N,Year,1998,1998
433,1998,05,25,Day,1998-05-25,98May25
434,1998,05,\N,Month,1998-05,May1998
435,1998,\N,\N,Year,1998,1998
436,1998,05,26,Day,1998-05-26,98May26
437,1998,05,\N,Month,1998-05,May1998
438,1998,\N,\N,Year,1998,1998
439,1998,05,27,Day,1998-05-27,98May27
440,1998,05,\N,Month,1998-05,May1998
441,1998,\N,\N,Year,1998,1998
442,1998,05,28,Day,1998-05-28,98May28
443,1998,05,\N,Month,1998-05,May1998
444,1998,\N,\N,Year,1998,1998
445,1998,05,29,Day,1998-05-29,98May29
446,1998,05,\N,Month,1998-05,May1998
447,1998,\N,\N,Year,1998,1998
448,1998,05,30,Day,1998-05-30,98May30
449,1998,05,\N,Month,1998-05,May1998
450,1998,\N,\N,Year,1998,1998
451,1998,05,31,Day,1998-05-31,98May31
452,1998,05,\N,Month,1998-05,May1998
453,1998,\N,\N,Year,1998,1998
454,1998,06,01,Day,1998-06-01,98Jun01
455,1998,06,\N,Month,1998-06,Jun1998
456,1998,\N,\N,Year,1998,1998
457,1998,06,02,Day,1998-06-02,98Jun02
458,1998,06,\N,Month,1998-06,Jun1998
459,1998,\N,\N,Year,1998,1998
460,1998,06,03,Day,1998-06-03,98Jun03
461,1998,06,\N,Month,1998-06,Jun1998
462,1998,\N,\N,Year,1998,1998
463,1998,06,04,Day,1998-06-04,98Jun04
464,1998,06,\N,Month,1998-06,Jun1998
465,1998,\N,\N,Year,1998,1998
466,1998,06,05,Day,1998-06-05,98Jun05
467,1998,06,\N,Month,1998-06,Jun1998
468,1998,\N,\N,Year,1998,1998
469,1998,06,06,Day,1998-06-06,98Jun06
470,1998,06,\N,Month,1998-06,Jun1998
471,1998,\N,\N,Year,1998,1998
472,1998,06,07,Day,1998-06-07,98Jun07
473,1998,06,\N,Month,1998-06,Jun1998
474,1998,\N,\N,Year,1998,1998
475,1998,06,08,Day,1998-06-08,98Jun08
476,1998,06,\N,Month,1998-06,Jun1998
477,1998,\N,\N,Year,1998,1998
478,1998,06,09,Day,1998-06-09,98Jun09
479,1998,06,\N,Month,1998-06,Jun1998
480,1998,\N,\N,Year,1998,1998
481,1998,06,10,Day,1998-06-10,98Jun10
482,1998,06,\N,Month,1998-06,Jun1998
483,1998,\N,\N,Year,1998,1998
484,1998,06,11,Day,1998-06-11,98Jun11
485,1998,06,\N,Month,1998-06,Jun1998
486,1998,\N,\N,Year,1998,1998
487,1998,06,12,Day,1998-06-12,98Jun12
488,1998,06,\N,Month,1998-06,Jun1998
489,1998,\N,\N,Year,1998,1998
490,1998,06,13,Day,1998-06-13,98Jun13
491,1998,06,\N,Month,1998-06,Jun1998
492,1998,\N,\N,Year,1998,1998
493,1998,06,14,Day,1998-06-14,98Jun14
494,1998,06,\N,Month,1998-06,Jun1998
495,1998,\N,\N,Year,1998,1998
496,1998,06,15,Day,1998-06-15,98Jun15
497,1998,06,\N,Month,1998-06,Jun1998
498,1998,\N,\N,Year,1998,1998
499,1998,06,16,Day,1998-06-16,98Jun16
500,1998,06,\N,Month,1998-06,Jun1998
501,1998,\N,\N,Year,1998,1998
502,1998,06,17,Day,1998-06-17,98Jun17
503,1998,06,\N,Month,1998-06,Jun1998
504,1998,\N,\N,Year,1998,1998
505,1998,06,18,Day,1998-06-18,98Jun18
506,1998,06,\N,Month,1998-06,Jun1998
507,1998,\N,\N,Year,1998,1998
508,1998,06,19,Day,1998-06-19,98Jun19
509,1998,06,\N,Month,1998-06,Jun1998
510,1998,\N,\N,Year,1998,1998
511,1998,06,20,Day,1998-06-20,98Jun20
512,1998,06,\N,Month,1998-06,Jun1998
513,1998,\N,\N,Year,1998,1998
514,1998,06,21,Day,1998-06-21,98Jun21
515,1998,06,\N,Month,1998-06,Jun1998
516,1998,\N,\N,Year,1998,1998
517,1998,06,22,Day,1998-06-22,98Jun22
518,1998,06,\N,Month,1998-06,Jun1998
519,1998,\N,\N,Year,1998,1998
520,1998,06,23,Day,1998-06-23,98Jun23
521,1998,06,\N,Month,1998-06,Jun1998
522,1998,\N,\N,Year,1998,1998
523,1998,06,24,Day,1998-06-24,98Jun24
524,1998,06,\N,Month,1998-06,Jun1998
525,1998,\N,\N,Year,1998,1998
526,1998,06,25,Day,1998-06-25,98Jun25
527,1998,06,\N,Month,1998-06,Jun1998
528,1998,\N,\N,Year,1998,1998
529,1998,06,26,Day,1998-06-26,98Jun26
530,1998,06,\N,Month,1998-06,Jun1998
531,1998,\N,\N,Year,1998,1998
532,1998,06,27,Day,1998-06-27,98Jun27
533,1998,06,\N,Month,1998-06,Jun1998
534,1998,\N,\N,Year,1998,1998
535,1998,06,28,Day,1998-06-28,98Jun28
536,1998,06,\N,Month,1998-06,Jun1998
537,1998,\N,\N,Year,1998,1998
538,1998,06,29,Day,1998-06-29,98Jun29
539,1998,06,\N,Month,1998-06,Jun1998
540,1998,\N,\N,Year,1998,1998
541,1998,06,30,Day,1998-06-30,98Jun30
542,1998,06,\N,Month,1998-06,Jun1998
543,1998,\N,\N,Year,1998,1998
544,1998,07,01,Day,1998-07-01,98Jul01
545,1998,07,\N,Month,1998-07,Jul1998
546,1998,\N,\N,Year,1998,1998
547,1998,07,02,Day,1998-07-02,98Jul02
548,1998,07,\N,Month,1998-07,Jul1998
549,1998,\N,\N,Year,1998,1998
550,1998,07,03,Day,1998-07-03,98Jul03
